symbol,_priceFormat,_priceFormatType,_tickSize,buyFillId,sellFillId,qty,buyPrice,sellPrice,pnl,boughtTimestamp,soldTimestamp,duration
ESH6,-2,0,0.25,374428720367,374428720386,2,6674.00,6676.00,$200.00,03/17/2026 04:30:01,03/17/2026 04:32:15,2min 14sec
ESH6,-2,0,0.25,374428720417,374428720398,2,6693.50,6695.50,$200.00,03/17/2026 05:36:59,03/17/2026 05:30:00,6min 58sec
ESH6,-2,0,0.25,374428720448,374428720429,2,6692.75,6694.75,$200.00,03/17/2026 05:45:41,03/17/2026 05:45:01,39sec
ESH6,-2,0,0.25,374428720479,374428720460,2,6694.50,6696.50,$200.00,03/17/2026 06:00:58,03/17/2026 06:00:01,57sec
ESM6,-2,0,0.25,374428720496,374428720516,2,6735.50,6737.50,$200.00,03/18/2026 10:15:08,03/18/2026 10:15:12,4sec
ESM6,-2,0,0.25,374428720528,374428720547,2,6726.00,6728.00,$200.00,03/18/2026 10:31:07,03/18/2026 10:33:14,2min 6sec
ESM6,-2,0,0.25,374428720564,374428720583,2,6661.25,6663.25,$200.00,03/19/2026 03:45:03,03/19/2026 03:45:49,45sec
ESM6,-2,0,0.25,374428720595,374428720614,1,6659.75,6661.75,$100.00,03/19/2026 04:00:01,03/19/2026 04:00:12,11sec
ESM6,-2,0,0.25,374428720595,374428720623,1,6659.75,6661.75,$100.00,03/19/2026 04:00:01,03/19/2026 04:00:13,12sec
ESM6,-2,0,0.25,374428720635,374428720654,2,6656.25,6658.25,$200.00,03/19/2026 04:30:00,03/19/2026 04:30:32,31sec
ESM6,-2,0,0.25,374428720666,374428720685,2,6648.00,6650.00,$200.00,03/19/2026 04:45:00,03/19/2026 04:45:47,47sec
